src_ip_bytes,proto_tcp,src_bytes,dst_ip_bytes,src_pkts,duration,dst_bytes,conn_state_REJ,dns_rejected_T,conn_state_S0,dst_pkts,conn_state_OTH,conn_state_RSTRH,proto_udp,service_-,conn_state_RSTO,dns_qtype_12,conn_state_S1,dns_RD_F,conn_state_SF,proto_icmp,http_version_1.1,http_status_code_200,http_version_-,service_ftp,http_status_code_0,dns_rejected_F,dns_qclass_0,dns_rcode_3,dns_qtype_28,service_dns,dns_RA_F,conn_state_RSTR,dns_rcode_2,service_ssl,service_gssapi,service_smb
dns_qclass_1,service_http,service_dce_rpc

,importance,stddev,p_value,n,p99_high,p99_low
src_ip_bytes,0.031709,0.001510,0.000378,3,0.040362,0.023057
proto_tcp,0.010496,0.000922,0.001281,3,0.015780,0.005212
src_bytes,0.004465,0.000641,0.003398,3,0.008137,0.000793
dst_ip_bytes,0.004044,0.000718,0.005172,3,0.008158,-0.000070
src_pkts,0.001439,0.000256,0.005194,3,0.002905,-0.000028
duration,0.001089,0.001027,0.103790,3,0.006972,-0.004794
dst_bytes,0.001022,0.000394,0.023050,3,0.003280,-0.001235
conn_state_REJ,0.000385,0.000486,0.151625,3,0.003170,-0.002399
dns_rejected_T,0.000335,0.000225,0.061437,3,0.001623,-0.000953
conn_state_S0,0.000273,0.000069,0.010262,3,0.000667,-0.000121
dst_pkts,0.000237,0.000055,0.008899,3,0.000554,-0.000081
conn_state_OTH,0.000159,0.000027,0.004740,3,0.000315,0.000004
conn_state_RSTRH,0.000104,0.000060,0.047192,3,0.000447,-0.000239
proto_udp,0.000087,0.000057,0.059872,3,0.000415,-0.000241
service_-,0.000066,0.000070,0.123378,3,0.000467,-0.000336
conn_state_RSTO,0.000062,0.000097,0.190638,3,0.000616,-0.000492
dns_qtype_12,0.000046,0.000017,0.020289,3,0.000142,-0.000049
conn_state_S1,0.000034,0.000008,0.009381,3,0.000082,-0.000013
dns_RD_F,0.000031,0.000013,0.026624,3,0.000104,-0.000042
conn_state_SF,0.000026,0.000039,0.179456,3,0.000248,-0.000196
proto_icmp,0.000017,0.000021,0.143148,3,0.000136,-0.000101
http_version_1.1,0.000013,0.000023,0.211325,3,0.000142,-0.000116
http_status_code_200,0.000013,0.000023,0.211325,3,0.000142,-0.000116
http_version_-,0.000013,0.000023,0.211325,3,0.000142,-0.000116
service_ftp,0.000012,0.000011,0.105930,3,0.000077,-0.000053
http_status_code_0,0.000012,0.000020,0.211325,3,0.000126,-0.000103
dns_rejected_F,0.000009,0.000006,0.057610,3,0.000041,-0.000024
dns_qclass_0,0.000008,0.000021,0.281943,3,0.000126,-0.000110
dns_rcode_3,0.000007,0.000018,0.283267,3,0.000113,-0.000098
dns_qtype_28,0.000007,0.000013,0.211325,3,0.000079,-0.000065
service_dns,0.000006,0.000034,0.394820,3,0.000202,-0.000190
dns_RA_F,0.000006,0.000007,0.141909,3,0.000046,-0.000034
conn_state_RSTR,0.000006,0.000007,0.135113,3,0.000044,-0.000032
dns_rcode_2,0.000006,0.000010,0.211325,3,0.000063,-0.000051
service_ssl,0.000006,0.000030,0.389331,3,0.000177,-0.000166
service_gssapi,0.000004,0.000004,0.110207,3,0.000029,-0.000020
service_smb,0.000004,0.000008,0.211325,3,0.000047,-0.000039
dns_qclass_1,0.000004,0.000003,0.069241,3,0.000019,-0.000012
service_http,0.000004,0.000048,0.453528,3,0.000277,-0.000270
service_dce_rpc,0.000003,0.000005,0.211325,3,0.000033,-0.000027
dns_RD_-,2.955602e-06,1.369433e-06,0.032347,3,1.080261e-05,-4.891404e-06
ssl_resumed_-,2.886619e-06,2.499907e-06,0.091753,3,1.721136e-05,-1.143812e-05
dns_RA_-,2.170139e-06,3.758791e-06,0.211325,3,2.370843e-05,-1.936815e-05
weird_notice_F,2.104606e-06,7.906728e-06,0.345026,3,4.741104e-05,-4.320182e-05
dns_rejected_-,7.561460e-07,1.309683e-06,0.211325,3,8.260776e-06,-6.748484e-06
weird_name_-,6.578470e-07,5.552949e-06,0.428205,3,3.247686e-05,-3.116116e-05
weird_notice_-,6.578470e-07,5.552949e-06,0.428205,3,3.247686e-05,-3.116116e-05
ssl_established_-,3.700743e-17,6.409876e-17,0.211325,3,4.043004e-16,-3.302855e-16
http_status_code_403,0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_status_code_404,0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_user_agent_Ruby,0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_user_agent_Mozilla/5.0 (iPhone; U; CPU iOS 2_0 like Mac OS X; en-us),0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_user_agent_Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/4.0; InfoPath.2; SV1; .NET CLR 2.0.50727; WOW64),0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_user_agent_Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
